Original Image,Stego Image,Original Image Dimensions,Stego Image Dimensions,Wavelet,Embedding Scale,MSE,PSNR
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.02,0.5979665120442709,50.36403498019332
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.05,1.3738911946614583,46.75128020742052
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.1,4.33181635538737,41.76410324164044
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",haar,0.2,16.27404276529948,36.015849079579056
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.02,0.5979665120442709,50.36403498019332
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.05,1.3738911946614583,46.75128020742052
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.1,4.33181635538737,41.76410324164044
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db1,0.2,16.27404276529948,36.015849079579056
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db8,0.02,0.5319391886393229,50.87218374339631
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db8,0.05,0.8502642313639323,48.83526451164531
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db8,0.1,2.138153076171875,44.83041566563461
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db8,0.2,7.46475092569987,39.400650395501714
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db16,0.02,0.5283966064453125,50.90120341113171
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db16,0.05,0.8282725016276041,48.949071177024315
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db16,0.1,2.0545857747395835,45.00356083988205
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",db16,0.2,7.140036265055339,39.59379943255122
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym2,0.02,0.5570182800292969,50.672109129373
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym2,0.05,1.0228563944498699,48.032656963403554
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym2,0.1,2.8387362162272134,43.59955322396083
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym2,0.2,10.248231252034506,38.02431444136219
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym8,0.02,0.5329742431640625,50.863741393122694
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym8,0.05,0.8498090108235677,48.837590291129956
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym8,0.1,2.134868621826172,44.837092068331046
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym8,0.2,7.441417694091797,39.414246782698875
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym16,0.02,0.5297991434733073,50.889691090303614
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym16,0.05,0.8274205525716146,48.95354056590767
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym16,0.1,2.0479812622070312,45.01754382078432
lena_std.tif,qrcode_compact_512x512.tif,"(512, 512, 3)","(512, 512, 3)",sym16,0.2,7.103818257649739,39.6158851883913
